Q,Q0,dL,dH-dL,a,b,dmin,dmax-dmin,Objective
0.662754,0.664142,0.899673,0.17491,1.50032,1.59472,-0.0236968,0.186787,0.705486
0.684561,0.934456,-0.00533129,0.671272,1.94551,3.45196,0.698471,0.688119,0.789812
0.420136,0.952064,0.303344,0.195661,1.97244,0.988811,0.623795,0.857811,0.39945
0.466891,0.635361,0.679938,0.363683,1.82376,2.53516,-0.189702,0.116196,1.39031
0.937124,0.98301,-0.0908658,0.538854,2.62171,2.10024,0.180377,0.176705,0.774597
0.521565,0.578977,0.566863,0.57086,3.57942,1.91573,0.453978,0.27963,0.374153
0.549407,0.466111,-0.0965775,0.0668929,3.53841,3.89877,-0.189453,0.300865,0.396574
0.477472,0.752586,0.700736,0.64552,3.31822,1.56225,0.727164,0.394351,0.467353
0.272411,0.818734,0.90184,0.0100135,3.92732,3.87606,0.235537,0.794313,0.406292
0.502813,0.211742,0.464352,0.974779,1.78066,3.0861,0.0447104,0.402061,0.26897
0.606668,0.877321,0.671338,0.943572,3.92683,3.56095,0.827651,0.951481,0.549926
0.542349,0.754133,0.583586,0.718221,2.27619,2.26871,0.392808,0.899217,0.359221
0.649972,0.835983,0.423593,0.11779,3.08245,2.76067,0.699423,0.728596,0.636808
0.886735,0.900035,-0.022048,0.794933,2.48687,3.53167,0.615909,0.473735,0.78251
0.87778,0.859275,0.609072,0.0488397,1.80747,3.09614,0.99726,0.563618,0.714245
0.540746,0.526155,0.146321,0.431246,2.78868,2.60903,0.435749,0.411466,0.790047
0.604867,0.702322,0.791892,0.189781,2.49815,3.35455,0.730131,0.997638,0.4676
0.386656,0.291195,0.606525,0.304968,0.984509,2.81893,0.283658,0.050276,1.37293
0.875583,0.876131,0.129476,0.356212,1.90635,1.83468,0.61885,0.535018,0.746558
0.912393,0.476247,-0.198271,0.472231,3.32386,2.88502,0.963681,0.0759629,2.66499
0.463295,0.37229,0.695862,0.17357,2.7094,3.79213,0.0803034,0.834764,0.252221
0.789301,0.426929,-0.159143,0.992258,3.70426,0.92532,-0.0209473,0.615669,0.735713
0.88913,0.45161,0.00322895,0.796792,3.8464,1.69169,0.0351367,0.774125,0.696124
0.301549,0.207648,0.0323412,0.422162,1.8561,3.50876,0.783079,0.366355,2.40404
0.648732,0.228636,0.181075,0.458098,0.86464,2.80527,0.105143,0.97848,0.481375
0.367405,0.820717,0.135537,0.759258,1.16494,2.24856,0.491039,0.385562,0.557621
0.272463,0.239035,0.459082,0.990721,1.43437,1.49342,0.259989,0.0299009,1.345
0.536944,0.359717,0.00368224,0.809269,1.60766,1.58792,0.452276,0.66853,0.778982
0.434888,0.564473,0.794102,0.129367,2.97586,1.37424,0.0923683,0.754856,0.230405
0.82679,0.919545,0.961131,0.214302,3.76966,1.33699,-0.144457,0.920421,0.520125
0.915814,0.457408,0.764684,0.0260592,3.54393,3.43171,0.282457,0.845064,0.646321
0.930033,0.323239,0.0803798,0.286086,3.10166,2.84141,0.985284,0.224127,0.960931
0.656445,0.82674,0.81521,0.0717026,2.12942,3.18632,0.218462,0.641778,0.351519
0.461018,0.245877,0.250233,0.895201,1.57673,2.91534,0.723783,0.456452,0.96236
0.321377,0.679738,0.699139,0.0170463,3.78804,2.76028,0.67574,0.0545471,0.141253
0.489936,0.513433,0.337068,0.614933,2.05556,1.87849,0.419224,0.73581,0.46481
0.767532,0.352681,0.275241,0.351855,1.11691,1.85176,0.410971,0.969367,0.625111
0.919191,0.937039,0.0663496,0.926246,2.43703,3.15099,-0.170015,0.120975,0.554839
0.412434,0.508468,0.291264,0.255978,1.26957,3.54704,0.0132738,0.126726,0.688626
0.667472,0.43751,0.135673,0.812769,2.8213,2.80451,-0.139172,0.96838,0.506976
0.330004,0.391606,0.625694,0.311599,1.33973,2.38072,0.138943,0.0606772,1.54679
0.863665,0.768245,0.451469,0.414178,1.19008,3.6375,0.168951,0.230517,0.522755
0.260259,0.801946,0.784262,0.487298,2.34576,3.02045,0.475855,0.613231,0.309739
0.283445,0.270815,-0.131133,0.98897,1.11323,1.91026,-0.12966,0.706801,0.206408
0.31335,0.254313,0.650046,0.774862,3.16696,1.11331,0.72702,0.44352,0.650894
0.607946,0.9018,-0.0505234,0.713948,0.921595,1.25051,0.376407,0.633425,0.616654
0.305288,0.230929,-0.162417,0.986721,3.64055,1.28773,-0.105362,0.559411,0.601985
0.694849,0.473812,0.630608,0.165303,2.99973,1.99758,0.627624,0.420276,0.611382
0.722992,0.265256,0.386645,0.229698,3.26474,1.42936,0.0845742,0.716404,0.575185
0.89168,0.808974,0.252662,0.0954919,3.37017,2.3762,0.198913,0.738598,0.665958
0.227218,0.680675,0.183603,0.172379,3.8202,2.55904,0.108027,0.746148,0.0800728
0.505729,0.865955,0.0596481,0.912303,2.61351,2.65127,0.802803,0.236395,3.13086
0.615097,0.471895,0.845998,0.967094,2.51037,2.78075,0.465675,0.567297,0.371129
0.621967,0.715009,-0.0774447,0.918218,1.93381,2.81713,0.575063,0.36272,1.21368
0.872289,0.706528,-0.0695566,0.630002,1.48374,1.35638,0.787725,0.795427,0.771705
0.711352,0.236197,0.0322946,0.239834,2.16582,0.952208,0.927422,0.5266,1.19705
0.834545,0.200234,0.138885,0.79989,0.984358,2.90252,0.801915,0.324097,0.930698
0.958802,0.308724,0.576222,0.364531,1.41799,1.11575,0.620237,0.47755,0.701246
0.364669,0.41489,0.514334,0.619916,1.25694,3.50421,0.732274,0.107505,1.95889
0.453469,0.749537,0.462625,0.665989,3.85606,3.22785,0.800403,0.185776,1.71732
0.339227,0.689002,0.59344,0.873804,3.20455,2.13291,0.332613,0.794925,0.130242
0.754032,0.204518,-0.00457442,0.937767,3.6583,1.84831,0.80557,0.0354732,7.55613
0.660974,0.215319,0.920351,0.616884,2.74671,3.87309,0.685518,0.557987,0.468798
0.219753,0.800529,0.0704414,0.0458838,1.5954,3.40093,0.522559,0.719185,0.178317
0.456663,0.671071,0.390485,0.511133,2.25223,2.09409,-0.0562882,0.335503,0.355964
0.80991,0.506652,0.904146,0.877137,3.01744,2.98763,0.960227,0.760439,0.654841
0.583361,0.789131,0.81771,0.674679,2.04715,2.56714,0.698911,0.359684,0.362492
0.468623,0.757988,-0.156939,0.621048,1.92131,3.35297,-0.036821,0.892336,0.353394
0.430882,0.621772,0.94895,0.5274,2.52608,2.12078,-0.152136,0.387807,0.751292
0.582755,0.586301,0.19252,0.567746,1.53617,1.33088,0.844976,0.172848,3.38604
0.517388,0.247988,0.390295,0.0338309,3.9139,3.38025,0.803443,0.435949,1.03065
0.840903,0.977523,0.372561,0.635496,2.88146,3.20707,-0.00799859,0.115745,0.384979
0.339812,0.457459,-0.17153,0.268359,2.09314,0.843728,0.596948,0.98699,1.00282
0.881551,0.340496,0.334098,0.276114,3.33271,2.57402,-0.015847,0.991133,0.64791
0.345081,0.880485,0.529705,0.511399,1.27119,2.86486,0.815668,0.726686,0.201059
0.763045,0.537272,0.693423,0.347979,1.19775,1.52302,0.869793,0.792807,0.637047
0.563361,0.468111,-0.0475666,0.872249,2.63032,3.38911,0.0626489,0.873802,0.525272
0.986906,0.341422,0.0226249,0.681316,2.36512,2.37686,-0.188878,0.212531,0.693349
0.870013,0.433156,0.102919,0.0926105,1.48287,1.83097,0.435292,0.480377,0.73178
0.492512,0.836851,0.258606,0.57539,2.82214,3.55935,0.796984,0.853181,0.625933
0.304054,0.98684,0.173143,0.931681,3.3757,3.94046,0.273204,0.806944,0.097526
0.539474,0.444933,-0.0212122,0.193067,3.72754,3.69449,0.927239,0.207216,7.1314
0.380998,0.326067,0.555465,0.504653,2.33173,1.09675,0.234029,0.440223,0.185005
0.523297,0.852955,0.574256,0.881803,3.01283,1.73941,0.570072,0.743394,0.430226
0.746949,0.622936,0.981864,0.271349,2.04973,3.68434,0.33796,0.346999,0.368288
0.411169,0.590076,0.619443,0.490114,3.10363,2.26667,0.147096,0.0111513,2.33311
0.69454,0.4586,0.914511,0.803599,1.28602,3.4793,0.100786,0.344613,0.376153
0.68965,0.347406,-0.194995,0.895199,1.01217,3.50351,0.381164,0.446938,0.890254
0.637754,0.322422,-0.0384693,0.873328,2.77532,3.56006,-0.0970842,0.46713,0.51841
0.619921,0.586377,0.458009,0.81307,2.52536,1.90995,0.076413,0.107503,0.581552
0.631613,0.929069,0.654052,0.521935,0.913379,2.79128,0.521764,0.12025,0.336307
0.854604,0.908918,0.0400867,0.127487,1.317,2.88415,0.406517,0.0849568,1.26544
0.209773,0.890944,-0.0147347,0.547435,2.74918,1.88853,0.465045,0.757862,0.290584
0.41641,0.575763,0.824083,0.902356,3.64797,2.88415,0.242261,0.248621,0.651263
0.486034,0.213633,-0.00378412,0.628853,1.56547,1.15998,0.463019,0.624947,0.921565
0.257239,0.912295,0.692256,0.467662,3.41168,1.70811,0.00921509,0.610291,0.508896
