Q Q0 dL dH-dL a b dmin dmax-dmin Objective
0.98677 0.924843 0.57123 0.74043 3.72939 3.19108 0.520653 0.149066 0.696523
0.472254 0.883681 0.453761 0.426228 2.55101 1.07037 0.460893 0.498121 0.381202
0.596253 0.752122 0.0311764 0.970602 3.47108 3.24591 0.166033 0.0850837 1.21113
0.387281 0.201427 0.796871 0.426165 2.86578 3.38577 -0.157637 0.186631 1.18075
0.218595 0.21024 0.42491 0.899237 2.68051 3.4125 0.876227 0.424791 1.09162
0.843196 0.486662 0.0444042 0.394169 3.50385 3.51543 0.655349 0.588819 0.796798
0.601246 0.223043 0.723749 0.641361 1.56737 2.82373 -0.127138 0.846738 0.310168
0.648746 0.294392 0.605034 0.198355 1.45347 3.99898 0.0438311 0.826749 0.379585
0.208501 0.782232 0.0719727 0.556727 2.54227 3.7906 0.250919 0.554548 0.105229
0.245057 0.934959 0.679529 0.166916 3.24991 0.866262 0.332303 0.667641 0.258206
0.694612 0.458618 0.915176 0.241061 1.57446 1.00963 0.0842165 0.371822 0.335974
0.467106 0.527106 0.337989 0.720352 1.23669 1.99535 0.900327 0.209362 2.56782
0.491562 0.914943 0.161556 0.139995 3.51776 2.75652 0.0886355 0.117786 0.251999
0.658891 0.405156 0.622344 0.383609 2.79842 1.15624 -0.178118 0.804782 0.407454
0.92683 0.313827 0.912433 0.907054 1.19789 2.82015 -0.039136 0.400957 0.548285
0.869524 0.736538 0.0916776 0.412695 1.79495 3.35893 0.121057 0.110257 0.671527
0.252182 0.492249 0.418044 0.594232 2.26921 1.10387 0.842054 0.287632 1.65815
0.225917 0.926353 0.0990048 0.82832 1.22073 3.6137 0.541548 0.423879 0.329839
0.363758 0.237545 0.591495 0.803529 3.38923 1.97214 0.544522 0.570835 0.419959
0.652356 0.540327 0.429781 0.65218 2.5198 1.65209 0.0683467 0.925898 0.479669
0.930954 0.696479 0.604198 0.542301 3.33936 3.36667 0.400441 0.875203 0.670298
0.52326 0.52861 0.362738 0.860748 1.23344 3.12049 0.12773 0.233012 0.304929
0.554061 0.58859 -0.199968 0.879408 2.89709 3.44364 0.66218 0.635969 1.12118
0.746453 0.900108 0.705854 0.480192 1.41986 1.24346 0.380043 0.563934 0.47029
0.807229 0.204282 0.83808 0.741889 0.961944 0.840536 -0.146478 0.84902 0.495503
0.307629 0.599554 0.469132 0.880821 3.77792 0.800777 0.179728 0.880577 0.252226
0.891162 0.404525 0.476777 0.533499 1.43144 1.67723 -0.0303482 0.728411 0.611198
0.610146 0.55212 0.931176 0.98903 2.38233 3.31552 0.434428 0.0988301 0.837976
0.281154 0.954886 0.519488 0.96056 3.21558 3.65875 -0.155051 0.151432 1.29687
0.933888 0.948388 -0.0559445 0.701642 3.93751 1.69074 0.215825 0.310752 0.742319
0.903196 0.228309 0.768951 0.753771 1.98502 3.91332 0.786183 0.171396 0.676577
0.92024 0.476035 0.058084 0.415264 1.40875 1.71728 -0.184643 0.514914 0.647137
0.417046 0.885091 0.0716595 0.779401 1.14757 2.30392 0.781287 0.893261 0.511791
0.755782 0.239298 0.88638 0.87697 3.29438 3.50755 0.0168022 0.660326 0.431049
0.720232 0.761021 0.991199 0.44109 3.48796 3.68744 0.234778 0.709428 0.408338
0.489902 0.340696 0.363829 0.674482 3.52554 1.49015 0.159836 0.04294 0.966721
0.2516 0.982797 0.747384 0.140844 1.75253 1.57171 0.170146 0.669171 0.543944
0.664989 0.872088 0.636843 0.780054 3.41989 1.73654 0.712316 0.52882 0.611768
0.706325 0.231082 -0.0406519 0.250256 1.84901 2.06133 0.762533 0.320273 1.44665
0.676284 0.935437 -0.182556 0.549937 2.15507 2.70432 0.509272 0.688922 0.799052
0.469511 0.73434 0.193513 0.800775 3.71204 3.65847 0.807937 0.521067 1.0632
0.249849 0.701579 0.53746 0.164511 3.72265 3.51028 0.361001 0.329232 0.242284
0.651609 0.581675 0.165128 0.614604 2.55584 0.995807 0.774565 0.791384 0.879081
